doctype,section,topic,content
White Paper,Conclusion,RPA VALIDATION PITFALLS AND HOW TO AVOID THEM,"RPA has the potential to transform how organizations execute business workflows by enabling higher efficiency, faster outcomes and almost error-free operations. One of the key success drivers is the right testing strategy for RPA validation. Validating robots using existing software testing models is ineffective because it often results in non-performing or underperforming assets. To overcome this challenge, organizations need a strategy that tests the robot's capacity to work autonomously, handle exceptions well, operate at higher efficiency, and follow preset instructions. With the right validation approach, skills and exit criteria, RPA can help organizations meet the desired business outcomes of error-free, predictable and efficient business operations"
White Paper,Abstract,ENABLING QA THROUGH ANAPLAN MODEL TESTING,"Anaplan is a cloud-based platform that can create various business models to meet different organizational planning needs. However, the test strategy for Anaplan varies depending on the application platform, cross-track dependencies and the type of testing. This white paper examines the key best-practices that will help organizations benefit from seamless planning through successful Anaplan testing."
White Paper,Introduction,ENABLING QA THROUGH ANAPLAN MODEL TESTING,"What is Anaplan? Anaplan is a cloud-based operational planning and business performance platform that allows organizations to analyze, model, plan, forecast, and report on business performance. Once an enterprise customer uploads data into Anaplan cloud, business users can instantly organize and analyze disparate sets of enterprise data across different business areas such as finance, human resources, sales, forecasting, etc. The Anaplan platform provides users with a familiar Excel-style functionality that they can use to make data-driven decisions, which otherwise would require a data expert. Anaplan also includes modules for workforce planning, quota planning, commission calculation, project planning, demand planning, budgeting, forecasting, financial consolidation, and profitability modelling."
White Paper,Main Content,ENABLING QA THROUGH ANAPLAN MODEL TESTING,"7 best-practices for efficient Anaplan testing 1.Understand the domain As Anaplan is a platform used for enterprise-level sales planning across various business functions, its actual users will be organizational-level planners who have an in-depth understanding of their domains. Thus, to certify the quality of the Anaplan model, QA personnel must adopt the perspective of end-users who may Fig 2: Representation of Anaplan data integration be heads of sales compensation or sales operations departments, sales managers, sales agents, etc. 2.Track Anaplan data entry points One of the features that makes Anaplan a popular choice is its provision of a wide range of in-built and third-party data integration points, which can be used to easily load disparate data sources into a single model. For most business users, data resides across many granular levels and it cannot be handled reliably with traditional Excel spreadsheets. Anaplan offers a scalable option that replaces Excel spreadsheets with a cloud-based platform to extract, load and transform data at any granular level from different complex systems while ensuring data integrity. It is essential for QA teams to understand the various up-stream systems from where data gets extracted, transformed and loaded into the Anaplan models. Such data also needs to be checked for integrity. ERP HRMS CRM OMF ' Revenue ' OPEX ' Chart of Accounts ' Workforce Info ' Compensation ' Sales Bookings ' Deal Info ' Sales Rep A i t ' Product Forecast ' Service Forecast Data Summarization or Transform & Data Load Master Data Repository Sales Territory Hierarchy Sales Bookings Product Hierarchy Forecast Numbers Sales rep. Hierarchy Employee Hierarchy Compensation Data Sales Adjustment Data Refresh Jobs to load data to Anaplan Anaplan UI External Document ' 2018 Infosys Limited 3.Ensure quality test data management The quality of test data is a deciding factor for testing coverage and completeness. Hence, the right combination of test data for QA will optimize testing effort and cost. Since Anaplan models cater to the financial, sales, marketing, and forecasting domains of an organization, it is essential to verify the accuracy of the underlying data. Failure to ensure this could result in steep losses amounting to millions of dollars for the organization. Thus, it is recommended that the QA teams dedicate a complete sprint/cycle to test the accuracy of data being ingested by the models. The optimal test data management strategy for testing data in an Anaplan model involves two steps. These are: ' Reconciling data between the database and data hub ' Data from the source database or data files that is received from the business teams of upstream production systems should be reconciled with the data hub. This will ensure that the data from the source is loaded correctly into the hub. In cases of hierarchical data, it is important to verify that data is accurately rolled up and that periodic refresh jobs are validated to ensure that only the latest data is sent to the hub according to the schedule. ' Loading correct data from the hub into the model ' Once the correct data is loaded into the hub, testing moves on to validate whether the correct data is loaded from the hub to the actual Anaplan model. This will ensure that the right modules are referenced from the hub in order to select the right data set. It also helps validate the formulas used on the hub data to generate derived data. For every model that is being tested, it is important to first identify the core hierarchy list that forms the crux of the model and ensure that the data is validated across every level of the hierarchy, in addition to validating the roll-up of numbers through the hierarchy or cascade of numbers down the hierarchy as needed. External Document ' 2018 Infosys Limited External Document ' 2018 Infosys Limited 4.Validate the cornerstones It is a good practice to optimize test quality to cover cornerstone business scenarios that may be missed earlier. Some recommendations for testing Anaplan models are listed below: ' Monitor the periodic data refresh schedules for different list hierarchies used in the model and validate that the data is refreshed on time with the latest production hierarchy ' As every model may have different user roles with selective access to dashboards, ensure that functional test cases with the correctly configured user roles are included. This upholds the security of the model since some dashboards or hierarchical data should be made visible only to certain pre-defined user roles or access levels ' The Anaplan model involves many data fields, some of which are derived from others based on one or more business conditions. Thus, it is advisable to include test scenarios around conditions such as testing warning messages that should be displayed, or testing whether cells that need to be conditionally formatted based on user inputs that either pass or fail the business conditions 5.Use automation tools for faster validation IT methodologies are evolving from waterfall to agile to DevOps models, leading to higher releases per year, shorter implementation cycle times and faster time-to-market. Thus, the test strategy of QA teams too should evolve from the waterfall model. Incorporating automation in the test strategy helps keep pace with shorter cycle times without compromising on the test quality. Anaplan implementation programs leverage agile and possess a wide range of testing requirements for data, integration and end-to-end testing, thereby ensuring that testing is completed on time. However, there are times when it becomes challenging to deliver maximum test coverage within each sprint because testing Anaplan involves testing each scenario with multiple datasets. Thus, it is useful to explore options for automating Anaplan model testing to minimize delays caused during sprint testing and ensure timely test delivery. Some of these options include using simple Excel-based formula worksheets and Excel macros along with open source automation tools such as Selenium integrated with Jenkins. This will help generate automated scripts that can be run periodically to validate certain functionalities in the Anaplan model for multiple datasets. These options are further explained below: Reusable Excel worksheets ' This involves a one-time activity to recreate the dashboard forms into simple tables in Excel worksheets. The data fields in Anaplan can be classified into 3 types: ' Fields that require user input ' Fields where data is populated from various data sources within Anaplan or other systems ' Fields where data gets derived based on defined calculation logic. Here, the formula used to derive the data value is embedded into the Excel cell such that the derived value gets automatically calculated after entering data in the first two kinds of fields Using such worksheets accelerates test validation and promotes reusability of the same Excel sheet to validate calculation accuracy for multiple data sets, which is important to maintain the test quality : ' Excel macros ' To test the relevant formula or calculation logic, replicate the Anaplan dashboard using excel macros. This macro can be reused for multiple data sets, thereby accelerating and enhancing test coverage ' Open source tools ' Open source tools like Selenium can be used to create automation scripts either for a specific functionality within the model or for a specific dashboard. However, using Selenium for Anaplan automation comes with certain challenges such as: ' Automating the end-to-end scenario may not be feasible since Anaplan requires switching between multiple user roles to complete the end-to-end flow ' The Anaplan application undergoes frequent changes from the Anaplan platform while changes in the model build require constant changes in the scripts ' Some data validation in Anaplan may require referencing other data sets and applying calculation logic, which may make the automation code very complex, causing delays in running the script 6.Ensure thorough data validation Anaplan can provision a secure platform to perform strategic planning across various domains. It provides flexibility and consistency when handling complex information from distinct data sources from various departments within the same organization. Identifying the correct underlying data is crucial for successful quality assurance of business processes using the Anaplan model. There are two key approaches when testing data in Anaplan. These include: ' User access level ' Business process requirements in some Anaplan models allow only end-users with certain access levels to view data and use it for planning. For instance, a multi-region sales planning model will include sales planners from different sales regions as end users. However, users should be allowed to only view the sales, revenue and other KPIs pertaining to their region as it would be a security breach to disclose the KPIs of other sales regions ' Accuracy of data integrated from various systems ' When the data being tested pertains to dollar amounts, for example, sales revenue, it is critical to have a thorough reconciliation of data against the source because a variation of a few dollars could lead to larger inaccuracies or discrepancies when the same data is rolled up the hierarchy or used to calculate another data field Since most Anaplan models contain business-critical numbers for financial reporting, it is important to run thorough tests to ensure accuracy. External Document ' 2018 Infosys Limited 7.Integration testing Integration testing should be an integral part of the testing strategy for any Anaplan application. Typically, there are multiple integration points that may have to be tested in an Anaplan implementation program owing to: ' Different data integration points ' Disparate data sets are imported into the data hub and then into the Anaplan models using different kinds of integration options such as flat files, Anaplan connect, Informatica, in-built data import, etc. ' Different Anaplan models ' There may be more than one Anaplan model being implemented for a medium to largescale organization for different kinds of planning. These need to be integrated with each other for smooth data flow. For instance, the output of a model built exclusively for sales forecasting may be an important parameter for another model that deals with sales planning across an organization's regional sales territories. Thus, besides testing the integration points between these models, it is advisable to have dedicated end-to-end cycle/sprint testing with scenarios across all these models and the integrated systems ' Different data sets ' The periodic refresh of data sets used across Anaplan models happens through Informatica, manual refresh, tidal jobs, etc. QA teams should understand how each data set is refreshed, identify the relevant job names and test these to ensure that the latest active hierarchy is periodically refreshed and loaded into the model. This will eliminate inaccuracies arising from data redundancies owing to inactivation or changes in the data structure in the upstream systems Anaplan implementation programs can be either standalone or interlinked models. Irrespective of the type of implementation, an approach that follows the 7 best practices outlined in this paper will help QA teams optimize their strategy for Anaplan test projects."
White Paper,Conclusion,ENABLING QA THROUGH ANAPLAN MODEL TESTING,"Anaplan's cloud-based, enterprise-wide and connected platform can help global organizations improve their planning processes across various business sectors. The Anaplan model is a simple, integrated solution that enables informed decisionmaking along with accelerated and effective planning. The strategic approach is one that leverages domain knowledge, test data management, automation, data validation, and integration testing, to name a few. The Infosys 7-step approach to effective Anaplan testing is based on our extensive experience in implementing Anaplan programs. It helps testing teams benefit from the best strategy for QA across various business functions, thereby ensuring smooth business operations."
White Paper,Abstract,THE RIGHT TESTING STRATEGY FOR AI SYSTEMS,"Over the years, organizations have invested significantly in optimizing their testing processes to ensure continuous releases of high-quality software. When it comes to artificial intelligence, however, testing is more challenging owing to the complexity of AI. Thus, organizations need a different approach to test their AI frameworks and systems to ensure that these meet the desired goals. This paper examines some key failure points in AI frameworks. It also outlines how these failures can be avoided using four main use cases that are critical to ensuring a well-functioning AI system"
White Paper,Introduction,THE RIGHT TESTING STRATEGY FOR AI SYSTEMS,"Experts in nearly every field are in a race to discover how to replicate brain functions ' wholly or partially. In fact, by 2025, the value of the artificial intelligence (AI) market will surpass US $100 billion1. For corporate organizations, investments in AI are made with the goal of amplifying the human potential, improving efficiency and optimizing processes. However, it is important to be aware that AI too is prone to error owing to its complexity. Let us first understand what makes AI systems different from traditional software systems: S.No Software systems AI systems 1 Features ' Software is deterministic, i.e., it is pre-programmed to provide a specific output based on a given set of inputs Features ' Artificial intelligence/machine learning (AI/ML) is non-deterministic, i.e., the algorithm can behave differently for different runs 2 Accuracy ' Accurate software depends on the skill of the programmer and is deemed successful if it produces an output in accordance with its design Accuracy ' Accuracy of AI algorithms depends on the training set and data inputs 3 Programming ' All software functions are designed based on if-then and for loops to convert input data to output data Programming ' Different input and output combinations are fed to the machine based on which it learns and defines the function 4 Errors ' When software encounters an error, remediation depends on human intelligence or a coded exit function Errors ' AI systems have self-healing capabilities whereby they resume operations after handling exceptions/errors."
White Paper,Main Content,THE RIGHT TESTING STRATEGY FOR AI SYSTEMS,"S.No Evolution stage in AI Typical failure points How can they be detected in testing 1 Data sources ' Dynamic or static sources ' Issues of correctness, completeness and appropriateness of source data quality and formatting ' Variety and velocity of dynamic data resulting in errors ' Heterogeneous data sources ' Automated data quality checks ' Ability to handle heterogeneous data during comparison ' Data transformation testing ' Sampling and aggregate strategies 2 Input data conditioning ' Big data stores and data lakes ' Incorrect data load rules and data duplicates ' Data nodes partition failure ' Truncated data and data drops ' Data ingestion testing ' Knowledge of development model and codes ' Understanding data needed for testing ' Ability to subset and create test data sets 3 ML and analytics ' Cognitive learning/ algorithms ' Determining how data is split for training and testing ' Out-of-sample errors like new behavior in previously unseen data sets ' Failure to understand data relationships between entities and tables ' Algorithm testing ' System testing ' Regression testing 4 Visualization ' Custom apps, connected devices, web, and bots ' Incorrectly coded rules in custom applications resulting in data issues ' Formatting and data reconciliation issues between reports and the back-end ' Communication failure in middleware systems/APIs resulting in disconnected data communication and visualization ' API testing ' End-to-end functional testing and automation ' Testing of analytical models ' Reconciliation with development models 5 Feedback ' From sensors, devices, apps, and systems ' Incorrectly coded rules in custom applications resulting in data issues ' Propagation of false positives at the feedback stage resulting in incorrect predictions ' Optical character recognition (OCR) testing ' Speech, image and natural language processing (NLP) testing ' RPA testing ' Chatbot testing frameworks The right testing strategy for AI systems Given the fact that there are several failure points, the test strategy for any AI system must be carefully structured to mitigate risk of failure. To begin with, organizations must first understand the various stages in an AI framework as shown in Fig 1. With this understanding, they will be able to define a comprehensive test strategy with specific testing techniques across the entire framework. Here are four key AI use cases that must be tested to ensure proper AI system functioning: ' Testing standalone cognitive features such as natural language processing (NLP), speech recognition, image recognition, and optical character recognition (OCR) ' Testing AI platforms such as IBM Watson, Infosys NIA, Azure Machine Learning Studio, Microsoft Oxford, and Google DeepMind ' Testing ML-based analytical models ' Testing AI-powered solutions such as virtual assistants and robotic process automation (RPA) External Document ' 2018 Infosys Limited Use case 1: Testing standalone cognitive features Natural language processing (NLP) ' Test for 'precision' return of the keyword, i.e., a fraction of relevant instances among the total retrieved instances of NLP ' Test for 'recall', i.e., a fraction of retrieved instances over total number of retrieved instances available ' Test for true positives (TPs), true negatives (TNs), false positives (FPs), and false negatives (FNs). Ensure that FPs and FNs are within the defined error/fallout range Speech recognition inputs ' Conduct basic testing of the speech recognition software to see if the system recognizes speech inputs ' Test for pattern recognition to determine if the system can identify when a unique phrase is repeated several times in a known accent and whether it can identify the same phrase when it is repeated in a different accent ' Test deep learning, the ability to differentiate between 'New York' and 'Newark' ' Test how speech translates to response. For example, a query of 'Find me a place I can drink coffee' should not generate a response with coffee shops and driving directions. Instead, it should point to a public place or park where one can enjoy his/her coffee Image recognition ' Test the image recognition algorithm through basic forms and features ' Test supervised learning by distorting or blurring the image to determine the extent of recognition by the algorithm ' Test pattern recognition by replacing cartoons with the real image like showing a real dog instead of a cartoon dog ' Test deep learning using scenarios to see if the system can find a portion of an object in a larger image canvas and complete a specific action Optical character recognition ' Test OCR and optical word recognition (OWR) basics by using character or word inputs for the system to recognize ' Test supervised learning to see if the system can recognize characters or words from printed, written or cursive scripts ' Test deep learning, i.e., whether the system can recognize characters or words from skewed, speckled or binarized (when color is converted to grayscale) documents ' Test constrained outputs by introducing a new word in a document that already has a defined lexicon with permitted words Use case 2: Testing AI platforms Testing any platform that hosts an AI framework is complex. Typically, it follows many of the steps used during functional testing. Data source and conditioning testing ' Verify the quality of data from various systems ' data correctness, completeness and appropriateness along with format checks, data lineage checks and pattern analysis ' Verify transformation rules and logic applied on raw data to get the desired output format. The testing methodology/automation framework should function irrespective of the nature of data ' tables, flat files or big data ' Verify that the output queries or programs provide the intended data output ' Test for positive and negative scenarios Algorithm testing ' Split input data for learning and for the algorithm ' If the algorithm uses ambiguous datasets, i.e., the output for a single input is not known, the software should be tested by feeding a set of inputs and checking if the output is related. Such relationships must be soundly established to ensure that algorithms do not have defects ' Check the cumulative accuracy of hits (TPs and TNs) over misses (FPs and FNs) API integration ' Verify input request and response from each application programming interface (API) ' Verify request response pairs ' Test communication between components ' input and response returned as well as response format and correctness ' Conduct integration testing of API and algorithms and verify reconciliation/visualization of output System/regression testing ' Conduct end-to-end implementation testing for specific use cases, i.e., provide an input, verify data ingestion and quality, test the algorithms, verify communication through the API layer, and reconcile the final output on the data visualization platform with expected output ' Check for system security, i.e., static and dynamic security testing ' Conduct user interface and regression testing of the systems External Document ' 2018 Infosys Limited Use case 3: Testing ML-based analytical models Organizations build analytical models for three main purposes as shown in Fig 2 Fig 2: Types and purposes of analytical models The validation strategy used while testing the analytical model involves the following three steps: ' Split the historical data into 'test' and 'train' datasets ' Train and test the model based on generated datasets ' Report the accuracy of model for the various generated scenarios Fig 2: Types and purposes of analytical models External Document ' 2018 Infosys Limited External Document ' 2018 Infosys Limited Fig 3: Testing analytical models Organizations build analytical models for three main purposes as shown in Fig 2 Fig 2: Types and purposes of analytical models Use case 4: Testing of AI-powered solutions Chatbot testing framework ' Test the chatbot framework using semantically equivalent sentences and create an automated library for this purpose ' Maintain configurations of basic and advanced semantically equivalent sentences with formal and informal tones and complex words ' Automate end-to-end scenario (requesting chatbot, getting a response and validating the response action with accepted output) ' Generate automated scripts in Python for execution RPA testing framework ' Use open source automation or functional testing tools (Selenium, Sikuli, Robot Class, AutoIT) for multiple applications ' Use flexible test scripts with the ability to switch between machine language programming (where required as an input to the robot) and high-level language for functional automation ' Use a combination of pattern, text, voice, image, and optical character recognition testing techniques with functional automation for true end-to-end testing of applications"
White Paper,Conclusion,THE RIGHT TESTING STRATEGY FOR AI SYSTEMS,"AI frameworks typically follow 5 stages ' learning from various data sources, input data conditioning, machine learning and analytics, visualization, and feedback. Each stage has specific failure points that can be identified using several techniques. Thus, when testing the AI systems, QA departments must clearly define the test strategy by considering the various challenges and failure points across all stages. Some of the important testing use cases to be considered are testing standalone cognitive features, AI platforms, ML-based analytical models, and AIpowered solutions. Such a comprehensive testing strategy will help organizations streamline their AI frameworks and minimize failures, thereby improving output quality and accuracy."
White Paper,Abstract,DO MORE WITH LESS IN SOFTWARE TESTING,"Faced with pressure to deliver more despite ever-shrinking budgets and shorter timelines, most companies struggle to balance the cost of innovation with business demands. Testing is a critical area where neither speed nor quality of output can be compromised as this leads to negative business impact. This paper explains some cost-effective strategies that enable testing organizations to improve efficiency within their testing teams while ensuring high-quality output."
White Paper,Introduction,DO MORE WITH LESS IN SOFTWARE TESTING,"Even as the demands for agile software increase exponentially, testing budgets continue to shrink. Software testing teams within most organizations struggle to deliver quality software in shorter timelines and tighter budgets. Further, most software tests tend to reside in silos making integration, collaboration and automation challenging. Thus, organizations need innovative testing solutions and strategies to balance quality, speed and cost."
White Paper,Main Content,DO MORE WITH LESS IN SOFTWARE TESTING,"Agile testing solutions and strategies 1. Test with an end-user mindset The job of testing goes beyond checking software against preset requirements or logging defects. It involves monitoring how the system behaves when it is actually being used by an end-user. A common complaint against testers is that they do not test software from the perspective of business and end-users. Effective riskbased testers are those who understand the system's end-users and deliver valueadded testing services that ensure quality products and meet clients' expectations. To do this, testers must evaluate products by undertaking real business user journeys across the system and test commonly used workflows in short testing windows. By mimicking real user journeys, such testers identify higher number of critical production defects. 2. Empower cross functional teams Agile and DevOps methodologies in software testing are forcing teams to work together across the software development lifecycle (SDLC). Engendering test independence is not about separating testing from development as this can lead to conflicts between developers and testers. Most teams have a polarized dynamic where testers search for defects and must prove how the program is erroneous while programmers defend their code and applications. Cross-functional teams eliminate such conflict by gathering members with different specializations who share accountability and work toward common goals. For instance, 'testers' are simply team members with testing as their primary specialization and 'programmers' are those within the team who specialize in coding. This team structure encourages people to work with a collaborative mindset and sharpen their expertise. Such teams can be small, with as few as 4-8 members who are responsible for a single requirement or part of the product backlog. Cross-functional teams provide complete ownership and freedom to ensure high-quality output ' an important step to realizing the potential of agile. 3. Automate the automation Running an entire test suite manually is time-consuming, error-prone and, often, impossible. While some companies are yet to on-board agile and DevOps capabilities, others have already integrated the practice of continuous integration (CI) and continuous delivery (CD) into their testing services. Irrespective of the level of DevOps maturity, CI/CD will provide only limited value if not paired with the right kind and degree of testing automation. Thus, organizations need a robust, scalable and maintainable test automation suite covering the areas of unit, API, functional, and performance testing. Automated testing saves effort, increases accuracy, improves test coverage, and reduces cycle time. To ensure automation success, organizations must focus on: ' Automating the right set of tests, particularly business-critical end-user journeys and frequently used workflows ' Integrating various components that may change continuously and need to be regressed frequently ' Automating data redundant tests ' Using the right set of automation tools and frameworks ' Moving beyond just the user interface and automating unit, APIs and nonfunctional tests ' Continuous maintenance and use of automated test suite On its own, test automation is important. However, when automation is integrated with a CI/CD pipeline to run every time new code is pushed, the benefits in time, cost and quality are multiplied."
White Paper,Conclusion,DO MORE WITH LESS IN SOFTWARE TESTING,"In a fast-paced and evolving digital world, companies want their IT partners to do more with less. When it comes to software testing, this places heavy pressure on software testers who are required to push high-quality code faster at lower cost. To streamline software testing, organizations need an approach where their testers adopt an end-user mindset by testing real user journeys and critical business transactions. They must also create efficient cross-functional teams that collaborate to achieve common goals and deliver value-added testing services. Finally, automating different layers of testing and practicing CI/CD will facilitate continuous testing and reduce time-to-market. These cost-effective strategies will help software testing professionals improve productivity and deliver more with less."
White Paper,Abstract,A Parametric Approach for Security Testing of Internet Applications,"Security is one of the prime concerns for all the Internet applications. Often it is noticed that during testing of the application, security doesn't get due focus and whatever security testing is done, it is mainly limited to security functionality testing as captured in the requirements document. Any mistake at requirement gathering stage can leave the application vulnerable to potential attacks. This paper discusses the issues and challenges in security requirement gathering and explains how it is different from normal functionality requirement gathering. It presents an approach to handle different factors that affect application security testing."
White Paper,Introduction,A Parametric Approach for Security Testing of Internet Applications,"As compared to traditional client-server or mainframe-based applications, Internet applications have different security requirements [1]. For any Internet application, there is a need to provide an unrestricted global access to the user community. This also brings in the threat of outside attack on the system. The hackers may try to gain unauthorized access to these systems for a variety of reasons and disturb the normal working of the application. Presented at the 3rd International Software Testing Conference, India The security of Internet applications necessarily means prevention of two things: destruction of information and unauthorized availability of information. The broad spectrum of application security can be expressed as 'PA3 IN' viz. Privacy, Authentication, (Authorization, Audit Control,) Integrity and Non-repudiation. The first issue in application security is to provide data privacy to the users. This means protecting information confidentiality from the prying eyes of unauthorized internal users and external hackers. Before allowing the access permissions to the users, it is essential to ensure the legitimacy. The process of identifying users is called authentication. Establishing the users' identity is only half the battle. The other half is access control/ authorization which means attaching information to various data objects denoting who can and who cannot access the object and in what manner (read, write, delete, change access control permissions, and so forth). The third 'A' is for audit control which means maintaining a tamper proof record of all security related events. And then when the data is in transit across the network, we need to protect it against malicious modification and maintain its integrity. The non-repudiation means the user should be unable to deny the ownership of the transactions made by them. It is implemented using Digital Signature [3]. This paper presents an approach for testing security of Internet applications."
